t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,0.00,359,359,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,-0.0,-0.03,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,0.0,0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,0.00,359,359,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-4,0.0,-0.09,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,0.0,0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,0.00,359,359,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-7,0.0,-0.15,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,0.00,359,359,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-10,-0.0,-0.21,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,-0.0,0.0
0.40,climb,96.50,253.50,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,-0.00,359,359,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-0.0,-0.27,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,-0.0,0.0
0.50,climb,96.54,253.46,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,-0.00,359,359,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-0.0,-0.33,1.000,1.000,0.43,0,0,0,270.0,180.0,0.0,0.0,0.00,0,-0.0,0.0
0.60,climb,96.81,253.19,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,0.00,359,359,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-9.7,-0.32,1.000,1.000,2.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,-0.9,0.2
0.70,climb,97.38,252.62,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,-0.02,359,359,-1,0.0,0.0,-0.2,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-22,-19.2,-0.26,1.000,1.000,4.90,0,0,0,270.0,180.0,0.0,0.0,0.00,0,-1.4,0.3
0.80,climb,98.27,251.73,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,-0.02,358,355,-1,0.0,0.0,-0.3,-0.1,-0.00,-0.03,0.00,0.00,0.00,0.00,0.02,0.00,96,-1,1,-25,-19.2,-0.11,1.000,1.000,8.10,0,26,0,273.9,184.4,359.7,356.1,0.00,0,-1.4,0.3
0.90,climb,100.20,249.80,1.000,1,1892.5,365.5,743.0,-3794.0,0.00,-0.10,358,355,-1,0.0,0.0,-0.5,-0.1,-0.00,-0.03,0.00,0.00,0.00,0.00,0.04,0.00,96,-1,1,-27,-38.6,0.05,1.000,1.000,11.26,0,26,0,273.9,184.4,359.7,356.1,0.00,0,-1.5,0.6
