t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,-680.0,1636.0,0.00,0.00,269,269,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.03,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.0,0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,-680.0,1636.0,0.00,0.00,269,269,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,5,0.0,0.09,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.0,0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,-680.0,1636.0,0.00,0.00,269,269,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,8,0.0,0.15,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,-680.0,1636.0,0.00,0.00,269,269,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,10,0.0,0.21,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.0,0.0
0.40,climb,96.50,253.50,1.000,1,1892.5,365.5,-680.0,1636.0,-0.00,0.00,269,269,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,13,0.0,0.27,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.0,0.0
0.50,climb,96.54,253.46,1.000,1,1892.5,365.5,-680.0,1636.0,-0.00,0.00,269,269,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,16,0.0,0.33,1.000,1.000,0.43,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.0,0.0
0.60,climb,96.81,253.19,1.000,1,1892.5,365.5,-680.0,1636.0,0.00,0.00,269,269,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,19,3.5,0.32,1.000,1.000,2.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.3,0.1
0.70,climb,97.38,252.62,1.000,1,1892.5,365.5,-680.0,1636.0,0.00,0.00,269,269,-1,0.0,0.0,-0.1,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,22,19.2,0.26,1.000,1.000,4.90,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-1.3,0.5
0.80,climb,98.27,251.73,1.000,1,1892.5,365.5,-680.0,1636.0,-0.04,0.00,270,273,-1,0.0,0.0,-0.3,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,88,-1,1,25,29.7,0.11,1.000,1.000,8.10,0,26,0,356.1,179.9,1.4,273.9,0.00,0,-1.7,0.6
0.90,climb,99.48,250.52,1.000,1,1892.5,365.5,-680.0,1636.0,-0.04,0.00,270,273,-1,0.0,0.0,-0.4,-0.2,-0.02,-0.03,0.00,0.00,0.00,0.00,0.04,-0.00,88,-1,1,27,29.7,-0.05,1.000,1.000,11.26,0,26,0,356.1,179.9,1.4,273.9,0.00,0,-1.7,0.6
1.00,climb,101.87,248.13,1.000,1,1892.5,365.5,-680.0,1636.0,-0.09,0.02,271,273,-1,0.0,0.0,-0.6,-0.3,-0.02,-0.02,0.00,0.00,0.00,0.00,0.09,-0.02,88,-1,1,30,38.4,-0.17,1.000,1.000,14.38,0,26,0,356.1,179.9,1.4,273.9,0.00,0,-1.4,0.6
1.10,climb,102.82,247.18,1.000,1,1892.4,365.5,-680.0,1636.0,-0.31,0.07,271,273,-1,0.0,0.0,-0.6,-0.3,-0.01,-0.01,0.00,0.00,0.00,0.00,0.18,-0.05,88,-1,1,33,44.1,-0.22,1.000,1.000,17.48,0,26,0,356.1,179.9,1.4,273.9,0.00,0,0.2,-0.2
1.20,climb,104.95,245.05,1.000,1,1892.4,365.5,-679.9,1636.0,-0.40,0.08,274,289,-1,0.0,0.0,-0.5,-0.3,-0.01,0.00,0.00,0.00,0.00,0.00,0.30,-0.08,88,-1,1,33,40.3,-0.22,1.000,1.000,20.55,0,26,0,340.1,179.8,0.4,289.9,0.00,0,0.6,-0.3
1.30,climb,107.39,242.61,1.000,1,1892.4,365.5,-679.9,1636.0,-0.40,0.08,276,289,-1,0.0,0.0,-0.4,-0.3,-0.00,0.01,0.00,0.00,0.00,0.00,0.39,-0.12,88,-1,1,34,40.3,-0.13,1.000,1.000,23.59,0,26,0,340.1,179.8,0.4,289.9,0.00,0,0.6,-0.3
1.40,climb,110.12,239.88,1.000,1,1892.3,365.5,-679.8,1636.0,-0.44,0.09,278,289,-1,0.0,0.0,-0.3,-0.3,-0.00,0.01,0.00,0.00,0.00,0.00,0.42,-0.15,88,-1,1,35,33.8,0.02,1.000,1.000,26.60,0,26,0,340.1,179.8,0.4,289.9,0.00,0,0.6,-0.4
1.50,climb,113.15,236.85,1.000,1,1892.3,365.5,-679.8,1636.0,-0.53,0.09,279,289,-1,0.0,0.0,-0.3,-0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.51,-0.17,88,-1,1,36,26.0,0.20,1.000,1.000,29.57,0,26,0,340.1,179.8,0.4,289.9,0.00,0,0.5,-0.4
1.60,climb,116.48,233.52,1.000,1,1892.2,365.6,-679.7,1635.9,-0.53,0.09,283,300,-1,0.0,0.0,-0.3,-0.3,0.00,-0.00,0.00,0.00,0.00,0.00,0.50,-0.20,88,-1,1,36,18.3,0.35,1.000,1.000,32.52,0,26,0,329.0,179.9,0.2,301.0,0.00,0,0.1,-0.3
1.70,climb,120.09,229.91,1.000,1,1892.2,365.6,-679.7,1635.9,-0.53,0.11,285,300,-1,0.0,0.0,-0.3,-0.3,-0.00,-0.01,0.00,0.00,0.00,0.00,0.48,-0.24,88,-1,1,36,13.7,0.45,1.000,1.000,35.43,0,26,0,329.0,179.9,0.2,301.0,0.00,0,-0.2,-0.2
1.80,climb,123.99,226.01,1.000,1,1892.1,365.6,-679.6,1635.9,-0.53,0.11,287,300,-1,0.0,0.0,-0.4,-0.3,-0.00,-0.02,0.00,0.00,0.00,0.00,0.47,-0.26,88,-1,1,37,14.2,0.46,1.000,1.000,38.32,0,26,0,329.0,179.9,0.2,301.0,0.00,0,-0.7,-0.1
1.90,climb,128.18,221.82,1.000,1,1892.0,365.6,-679.6,1635.9,-0.62,0.09,289,300,-1,0.0,0.0,-0.5,-0.3,-0.01,-0.02,0.00,0.00,0.00,0.00,0.54,-0.31,88,-1,1,38,29.0,0.36,1.000,1.000,41.17,0,26,0,329.0,179.9,0.2,301.0,0.00,0,-1.4,0.2
