t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,70.50,279.50,1.000,1,4242.6,-3269.5,-2350.1,3635.0,0.00,0.00,263,263,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.03,1.000,1.000,0.00,0,0,0,6.2,180.0,180.0,263.8,0.00,0,0.0,0.0
0.10,climb,70.50,279.50,1.000,1,4242.6,-3269.5,-2350.1,3635.0,0.00,0.00,263,263,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,5,-0.0,0.09,1.000,1.000,0.00,0,0,0,6.2,180.0,180.0,263.8,0.00,0,-0.0,-0.0
0.20,climb,70.50,279.50,1.000,1,4242.6,-3269.5,-2350.1,3635.0,0.00,0.00,263,263,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,8,-0.0,0.15,1.000,1.000,0.00,0,0,0,6.2,180.0,180.0,263.8,0.00,0,-0.0,-0.0
0.30,climb,70.51,279.49,1.000,1,4242.6,-3269.5,-2350.1,3635.0,0.00,0.00,263,263,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,11,0.3,0.21,1.000,1.000,0.04,0,0,0,6.2,180.0,180.0,263.8,0.00,0,-0.3,0.0
0.40,climb,70.57,279.43,1.000,1,4242.6,-3269.5,-2350.1,3635.0,0.00,0.00,263,263,-1,0.0,0.0,-0.0,0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,13,2.0,0.26,1.000,1.000,0.36,0,0,0,6.1,180.0,180.0,263.9,0.00,0,-0.5,0.1
0.50,climb,70.77,279.23,1.000,1,4242.6,-3269.5,-2350.1,3635.0,0.00,0.00,263,263,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,16,2.0,0.29,1.000,1.000,1.55,0,0,0,6.1,180.0,180.0,263.9,0.00,0,-0.5,0.1
0.60,climb,71.19,278.81,1.000,1,4242.6,-3269.5,-2350.1,3635.0,0.00,0.00,263,263,-1,0.0,0.0,-0.2,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,19,11.2,0.28,1.000,1.000,3.59,0,0,0,6.1,180.0,180.0,263.9,0.00,0,-1.2,0.2
0.70,climb,71.92,278.08,1.000,1,4242.6,-3269.5,-2350.1,3635.0,0.00,0.00,263,263,-1,0.0,0.0,-0.3,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,22,18.8,0.23,1.000,1.000,6.48,0,0,0,6.1,180.0,180.0,263.9,0.00,0,-0.9,-0.4
0.80,climb,72.97,277.03,1.000,1,4242.6,-3269.4,-2350.1,3635.0,0.00,0.18,264,267,-1,0.0,0.0,-0.4,-0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,88,-1,1,25,26.8,0.12,1.000,1.000,9.66,0,26,0,1.7,180.0,179.5,268.3,0.00,0,-0.3,-1.3
0.90,climb,74.32,275.68,1.000,1,4242.6,-3269.4,-2350.1,3634.9,0.00,0.18,264,267,-1,0.0,0.0,-0.4,0.1,0.02,-0.01,0.00,0.00,0.00,0.00,0.02,-0.17,88,-1,1,27,26.8,0.01,1.000,1.000,12.80,0,26,0,1.7,180.0,179.5,268.3,0.00,0,-0.3,-1.3
