t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.662,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,-0.00
0.20,climb,68.50,231.50,0.937,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,0,-0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.40,climb,68.56,231.44,1.000,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,0.0,-0.00
0.50,climb,68.77,231.23,1.000,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,0.0,0.00
0.60,climb,69.57,230.43,1.000,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.70,climb,70.01,229.99,1.000,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,0.1,-0.1,-0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.80,climb,71.14,228.86,1.000,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,0.1,-0.1,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.90,climb,73.48,226.52,1.000,1,626.3,676.9,483.7,433.1,0.00,0.00,341,341,-1,0.0,0.0,-0.0,0.1,0.03,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,-0.00
1.00,climb,75.46,224.54,1.000,1,626.3,676.9,483.7,433.1,0.02,0.00,341,341,-1,0.0,0.0,-0.3,0.4,0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
1.10,climb,77.77,222.23,1.000,1,626.3,676.9,483.7,433.1,0.02,0.00,341,341,-1,0.0,0.0,-0.6,0.8,0.06,-0.05,0.00,0.00,0.00,0.00,-0.01,0.02,82,-1,1,0,-0.0,0.00
