t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,0.00,270,270,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,0.0,-0.03,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,0.0,0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,0.00,270,270,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-5,0.0,-0.09,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.0,0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,0.00,270,270,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-8,0.0,-0.15,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,0.00,270,270,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,0.0,-0.21,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0,-0.0,0.0
0.40,climb,96.50,253.50,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,-0.00,270,270,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-14,-1.0,-0.27,1.000,1.000,0.00,0,0,0,0.0,180.0,180.0,270.0,0.00,0,-0.1,0.0
0.50,climb,96.62,253.38,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,-0.00,270,270,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1,-1,1,-17,-1.0,-0.31,1.000,1.000,0.70,0,0,0,0.0,180.0,180.0,270.0,0.00,0,-0.1,0.0
0.60,climb,96.96,253.04,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,0.00,270,270,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-20,-4.6,-0.30,1.000,1.000,2.75,0,0,0,0.0,180.0,180.0,270.0,0.00,0,-0.5,0.1
0.70,climb,97.60,252.40,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,0.00,270,270,-1,0.0,0.0,-0.2,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-23,-20.0,-0.24,1.000,1.000,5.65,0,0,0,0.0,180.0,180.0,270.0,0.00,0,-1.4,0.3
0.80,climb,98.57,251.43,1.000,1,1892.5,365.5,-478.0,-102.0,0.00,0.00,269,266,-1,0.0,0.0,-0.3,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,100,-1,1,-25,-20.0,-0.10,1.000,1.000,8.84,0,26,0,4.3,179.9,178.8,265.7,0.00,0,-1.4,0.3
0.90,climb,99.84,250.16,1.000,1,1892.5,365.5,-478.0,-102.0,-0.09,0.02,269,266,-1,0.0,0.0,-0.4,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.09,-0.02,100,-1,1,-27,-29.8,0.05,1.000,1.000,11.99,0,26,0,4.3,179.9,178.8,265.7,0.00,0,-1.1,0.5
1.00,climb,101.43,248.57,1.000,1,1892.4,365.5,-478.0,-102.0,-0.26,0.09,268,266,-1,0.0,0.0,-0.5,-0.1,-0.00,-0.01,0.00,0.00,0.00,0.00,0.18,-0.03,100,-1,1,-30,-42.9,0.16,1.000,1.000,15.11,0,26,0,4.3,179.9,178.8,265.7,0.00,0,0.6,-0.2
