t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.00,179,179,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,0.0,-0.03,1.000,1.000,0.00,0,0,0,90.0,180.0,180.0,180.0,0.00,0,-0.0,-0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.00,179,179,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-5,-0.0,-0.09,1.000,1.000,0.00,0,0,0,90.0,180.0,180.0,180.0,0.00,0,0.0,-0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.00,179,179,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-8,0.0,-0.15,1.000,1.000,0.00,0,0,0,90.0,180.0,180.0,180.0,0.00,0,-0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.00,179,179,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,0.0,-0.21,1.000,1.000,0.00,0,0,0,90.0,180.0,180.0,180.0,0.00,0,-0.0,0.0
0.40,climb,96.53,253.47,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.00,179,179,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-0.0,-0.27,1.000,1.000,0.43,0,0,0,90.0,9.9,180.0,180.0,0.00,0,-0.0,0.0
0.50,climb,96.70,253.30,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.00,179,179,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-5.3,-0.29,1.000,1.000,1.24,0,0,0,90.0,9.9,180.0,180.0,0.00,0,-0.7,0.2
0.60,climb,97.09,252.91,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.00,179,179,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-5.3,-0.28,1.000,1.000,3.28,0,0,0,90.0,9.9,180.0,180.0,0.00,0,-0.7,0.2
0.70,climb,97.79,252.21,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.02,179,179,-1,0.0,0.0,-0.2,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.02,0.00,-1,-1,1,-22,-11.2,-0.23,1.000,1.000,6.18,0,0,0,90.0,9.9,180.0,180.0,0.00,0,-1.0,0.3
0.80,climb,98.81,251.19,1.000,1,1892.5,365.5,2108.0,2635.0,0.00,0.05,178,175,-1,0.0,0.0,-0.3,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.05,0.00,100,-1,1,-25,-19.6,-0.10,1.000,1.000,9.36,0,26,0,94.4,3.5,179.7,175.6,0.00,0,-0.7,0.2
0.90,climb,100.13,249.87,1.000,1,1892.5,365.5,2108.0,2635.0,0.09,0.18,178,175,-1,0.0,0.0,-0.3,0.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.12,-0.04,100,-1,1,-27,-35.3,0.02,1.000,1.000,12.51,0,26,0,94.4,3.5,179.7,175.6,0.00,0,0.2,-0.7
